MAIN_ORG,ORGS,text,sentiments,score,month
34,CDG,no organisation,"Le nouveau modèle économique de la Caisse de Dépôt et de Gestion commence à faire ses preuves. Il a impulsé une nouvelle dynamique au groupe et abouti à des concrétisations, a indiqué Abdellatif Zaghnoun, DG du groupe CDG, devant des membres de la Chambre française la semaine dernière à Casablanca. Ce modèle est même considéré transposable à l’échelle nationale.",POSITIVE,1.0,avril
35,BMCI-BNP PARIBAS BANQUE,"['Corporate Banking', 'BNP Paribas Wealth', 'BMCI', 'Global Finance', 'Global Finance', 'Global Finance']","BMCI-BNP Paribas Banque Privée vient d’être élue «Meilleure Banque privée au Maroc» pour l’année 2019, par le magazine «Global Finance». La cérémonie de remise des prix a été organisée à New York le 5 février devant 100 dirigeants financiers internationaux. «Ce prix atteste du formidable travail fourni par les équipes depuis la création de BMCI-BNP Paribas Banque Privée en 2010 et conforte notre position de banque privée de référence au Maroc», a déclaré Soraya Mahfoud, directrice de la Banque privée du groupe BMCI. Selon le groupe, BMCI-BNP Paribas Banque Privée n’a cessé de grandir pour devenir aujourd’hui l’un des cœurs de métier de la BMCI. «Elle continue, d’ailleurs d’offrir un potentiel de croissance et de développement important», est-il souligné. À noter que le parc clientèle a été multiplié par deux, durant les quatre dernières années au moment où le volume des actifs financiers s’est accru de 50%. Cette performance est portée notamment par les synergies développées avec le Corporate Banking du groupe BMCI. Globalement, BNP Paribas Wealth Management a été primée 5 fois par «Global Finance» notamment en tant que «meilleure banque privée du monde». Le magazine «Global Finance» a sélectionné les lauréats en identifiant les équipes de gestion de patrimoine «qui répondent le plus efficacement aux besoins spécifiques de leurs clients tout en cherchant à améliorer, préserver et transmettre leur patrimoine.», précise le groupe BMCI. 
",POSITIVE,1.0,avril
36,TOTAL MAROC,"['Elf', 'Total Card']","Un septième administrateur chez Total Maroc. Il s’agit de Patricia Buisson-Hays-Narbonne, nommée pour un mandant de six ans, soit jusqu’à l’assemblée générale ordinaire annuelle de l’exercice clos le 31 décembre 2023. Âgée de 41 ans, la directrice adjointe Méditerranée Océan Indien intègre Elf en 1998 avant de rejoindre le siège de Total en 2001 en tant que chargée de la politique de prix des stations-services en France. En 2005, Patricia Buisson-Hays-Narbonne devient chef de région Total Card pour la clientèle professionnelle avant de décrocher, en 2012, le poste de directrice marketing réseau et cartes pétrolières. 
",POSITIVE,1.0,avril
37,BANQUE CENTRALE POPULAIRE,"['Banque des Mascareignes', 'Moyen-Orient', '(Mauritius)', 'Mauritius', 'Mauritius']","La Banque des Mascareignes, filiale de la BCP, devient BCP Bank (Mauritius). Son identité visuelle s’aligne en conséquence sur celle du groupe. BCP Bank (Mauritius) adopte ainsi le logo du cheval avec les trois traits dynamiques qui, selon le groupe bancaire, symbolisent «l’énergie, la force, la noblesse, la puissance et le mouvement». 
Dévoilée la semaine dernière, cette nouvelle appellation en anglais traduit la dimension internationale de la Banque Centrale Populaire (BCP) présente en Europe, en Amérique du nord et au Moyen-Orient. De même, elle reflète sa grande ambition de devenir un partenaire de premier rang pour les investisseurs à l’île Maurice. 
«Notre présence à Maurice est en phase avec la vision stratégique engagée par les autorités locales. Le business modèle de cette place financière connait une évolution profonde marquée par son ouverture à de nouvelles régions notamment l’Afrique francophone. Nous souhaitons accompagner cette vision stratégique en facilitant la connexion entre les investisseurs de l’Afrique francophone et la zone anglophone», déclare Kamal Mokdad, directeur général BCP et président du conseil d’administration de BCP Bank (Mauritius).
À noter que la stratégie du groupe s’articule autour de cinq principaux axes, à savoir, la promotion des compétences locales, l’appui des différents partenaires, l’utilisation des technologies de pointe, la vision d’une banque panafricaine de référence et la mise en place d’une plateforme opérationnelle performante. 
",POSITIVE,1.0,avril
38,BMCI,no organisation,"Les sociétés opérant dans les zones franches peuvent désormais vendre une partie de leurs produits finis sur le marché local à hauteur de 15% de leur chiffre d’affaires à l’export. Une mesure censée renforcer l’attractivité des zones franches d’exportation, selon Tarik Raghib. Dans cet entretien, il revient notamment sur les avantages de cette mesure et comment BMCI Banque Offshore compte se positionner. Le DG livre en outre des éléments sur le plan de développement de la banque.
",POSITIVE,1.0,avril
39,JUMIA FOOD,no organisation,"Les Marocains sont friands de fast-food et de repas asiatiques pendant le ramadan. C’est le constat dressé par le site Jumia Food qui a analysé les préférences alimentaires des Marocains pour rompre le jeûne en commandant en ligne. Ainsi, 55% des clients de la plateforme ont commandé des fast-food dont 20% des burgers, suivi par les repas asiatiques et Thaï (30%). Les plats italiens et la cuisine traditionnelle marocaine ont concentré quant à eux 15% des commandes. «Le fast-food est le plus convoité par les internautes marocains, suivi par les spécialités asiatiques. Les facteurs clés de succès sont principalement liés à l’adaptation des fast-food au mode de vie de la population active, mais également, au rapport qualité/prix attractif, assorti d’une diversification des produits proposés. 
Par ailleurs, les restaurants asiatiques, et notamment japonais, sont de plus en plus nombreux au Maroc. Et pour cause, les Marocains sont devenus de véritables adeptes de la cuisine asiatique. Les Marocains ont donc un choix accru et peuvent se restaurer rapidement à un prix abordable», précise Jumia Food. Créé il y a 5 ans, le site de commande de repas en ligne compte aujourd’hui plus de 300 restaurants partenaires répertoriés. Ils génèrent en moyenne un millier de commandes par jour sur Casablanca, Rabat, Marrakech et Tanger.
",POSITIVE,1.0,avril
40,GROUPE RENAULT,['Carlos Gohsn'],"En attendant les suites de l'affaire, Carlos Gohsn est maintenu au poste de PDG du groupe Renault. Mais pour assurer la continuité de ses activités opérationnelles, le constructeur a confié «provisoirement les commandes» à son N°2 Thierry Bolloré. Au Japon, Nissan prévoit de destituer aujourd’hui Ghosn de ses fonctions de président du conseil d’administration. ",POSITIVE,1.0,avril
41,GROUPE PSA,no organisation,"Après avoir battu, en 2018, ses records de chiffre d’affaires, de volumes de ventes et de résultat net, le Groupe PSA signe une nouvelle performance l’année suivante. Son résultat net part du groupe atteint un niveau inédit de 3,2 milliards d’euros.",NEGATIVE,0.0,avril
42,PSA,"['UAP Auto Union', 'JX', 'UAP', 'YouErKuai', 'Guangzhou', 'UAP', 'Pékin', 'Shanghai', 'UAP', 'PSA', 'Jian Xin ', 'UAP', 'IAM']","Le groupe PSA a fait son entrée au capital de UAP Auto Union, un distributeur chinois de pièces de rechange pour l’automobile. «Après Jian Xin (JX) en début d’année, PSA renforce sa position sur le marché chinois», souligne le constructeur français dans un communiqué. «Cette acquisition d’actions est une première étape vers une potentielle prise de participation plus importante au capital d’UAP. Nous avons l’ambition de prendre des positions fortes sur le marché de l’IAM (Independent Aftermarket) en Chine, par le biais de ses propres distributeurs JX et UAP, de sa joint-venture (coentreprise) DPCA et d’accords commerciaux, par exemple avec YouErKuai à Guangzhou.»
Créé il y a 27 ans, UAP est le leader de la distribution de pièces de rechange dans la province du Shandong (à l’est du pays, entre Pékin et Shanghai). L’entreprise dispose d’un maillage géographique optimal avec plus de cent plaques de distribution et étend actuellement son service de livraison aux provinces voisines, avec cinquante plaques de distribution.
«Grâce à UAP, le groupe PSA accède à un système de distribution compétitif et efficient, répondant aux meilleurs standards du marché», assure le constructeur. «Il vise à accélérer la croissance des ventes de ses pièces multimarques, dont celles de la nouvelle gamme Eurorepar, développée pour le marché chinois par le groupe.» 
",POSITIVE,1.0,avril
43,PREDATOR OIL & GAS,['’Office national des hydrocarbures et des mines (Onhym) '],"L’étude d’impact environnemental (EIE) du projet d’exploration et de production d’hydrocarbures sur les permis onshore Guercif I à IV a été approuvée par les autorités. C’est ce qu’annonce la compagnie britannique Predator Oil & Gas. Ce feu vert du Comité des études d’impact sur l’environnement ouvre la voie au début des opérations de forage programmées par Predator Oil & Gas.
«Le Maroc représente une opportunité intéressante pour la monétisation progressive du gaz en combinant à la fois la demande à court terme, soutenue par des prix très attractifs au niveau local, de grandes industries désireuses de passer au gaz, et la capacité à moyen terme de développer le gas-to-power», se réjouit Paul Griffiths, PDG de la compagnie.
Dès l’approbation de l’EIE, valable pour 5 ans, la junior a démarré ses démarches pour la mobilisation d’une plateforme de forage sur le périmètre identifié pour le début des forages. Cette zone, située dans le nord-est du Royaume, couvre une superficie de 7.269 km². Elle est l’objet d’un accord d’exploration gazière, annoncé en décembre 2018, entre l’Office national des hydrocarbures et des mines (Onhym) et Predator Oil & Gas Holdings et comporte les permis Guercif I, II, III, IV.
Accordés sous forme de licence exclusive, ces permis sont situés à l’est des gisements de gaz en production du bassin de Gharb et au nord-ouest du projet gazier Tendrara. La licence est valable pour une durée de 8 ans divisée en 3 phases, avec une période initiale de 30 mois qui sera suivie de deux périodes de prolongation de 36 et 30 mois respectivement.
La concession est détenue à 75% par la compagnie, le reste par l’Onhym. Par ailleurs, la junior devra verser 5% de royalties pour le gaz qui sera découvert dans cette concession et a déjà fourni une garantie bancaire de 1,5 million de dollars, remboursable sous réserve de l’achèvement du programme de travail minimum défini dans les conditions de l’accord d’exploration et du contrat d’association. 
",POSITIVE,1.0,avril
44,PREDATOR,"['Guercif', 'Oriental']",Predator Oil & Gas vient de décrocher une licence d’exploration de 8 ans à Guercif. Celle-ci est composée de 4 permis et s’étale sur une durée de 8 ans répartie en 3 phases. La concession couvre une superficie de 7.269 km² dans l’Oriental.,POSITIVE,1.0,avril
45,PSA,"['OpenLab', 'Inria']","Le Groupe PSA poursuit son programme d’OpenLabs. Après celui créé il y a un an au Maroc, le constructeur automobile annonce la création d’un OpenLab dédié à l’intelligence artificielle. «L’intelligence artificielle va rapidement devenir un facteur d’efficience du Groupe. Les travaux de l’OpenLab porteront par exemple sur les algorithmes d’intelligence artificielle pour la conduite du véhicule autonome dans des environnements complexes, la maintenance prédictive, l’optimisation de la conception des chaînes de tractions et la modélisation de systèmes complexes tels que les villes afin de proposer des services de mobilité adaptés aux besoins», a déclaré Carla Gohin, directrice de la Recherche & de l’Ingénierie avancée pour le Groupe PSA.
L’OpenLab est le fruit d’un partenariat avec l'Institut national de recherche en informatique et en automatique (Inria), en France. Pour Isabelle Ryl, directrice générale déléguée au Transfert et aux partenariats industriels d’Inria, «la transformation digitale du secteur automobile fait émerger de nombreux thèmes de recherche, notamment en intelligence artificielle. Les équipes projets d'Inria vont participer à cet OpenLab en amenant leur expertise algorithmique de haut niveau dans le cadre d'un dialogue fructueux avec les experts métiers du Groupe PSA sur tous les sujets que nous avons identifiés». Des résultats de la recherche fondamentale menée au sein de l’Institut «viendront alimenter des sujets de recherche applicative pour le secteur automobile», indique un communiqué.
L’OpenLab IA renforce un réseau mondial de 18 structures existantes pour le Groupe PSA. Parmi eux, 12 sont en France, 4 en Chine, et 1 au Brésil. Le dernier en date est celui du Maroc, le premier du genre en Afrique.                                                                                                      
 
",POSITIVE,1.0,avril
46,HPS,no organisation,"Le groupe HPS ne connaît pas de répit. Son activité a enregistré une croissance de 11% au premier semestre 2018 comparé à la même période de l'année dernière. «L’entreprise continue à faire de la croissance et à se renforcer sur ses marchés prioritaires, notamment européen et sud-africain. Ce premier semestre a été marqué par l’ouverture d’un bureau en Afrique du Sud pour soutenir notre activité mais également par la signature d’un nouveau contrat», souligne Brahim Berrada, DG de HPS Group. 
Le monéticien tire sa croissance essentiellement de l’activité Solutions (+13,2%) et du Processing (+22%), qui a démarré en juillet 2016 avec la gestion de toute l’activité de Switching du pays. «Pour le Switching, la plateforme que nous avons construite est prête et nous avons déjà signé avec nos premiers clients», précise le DG sans fournir de noms.  
Le spécialiste des solutions de paiement électronique «made in Morocco» a réalisé un chiffre d’affaires semestriel de 280 millions de dirhams, en augmentation de 10% sur un an.
Le résultat net consolidé s’améliore, quant à lui, de 41% à 42,4 millions de dirhams. Le résultat net par action ressort à 60,3 dirhams sur les 6 premiers mois de l’année. Les produits d’exploitation ont atteint 298,84 millions de dirhams, en augmentation de 10%. 
Plus que les chiffres, HPS se réjouit surtout de son développement. Il y a 10 ans, sur une base semestrielle, l’entreprise faisait entre 65 et 66 millions de chiffres d’affaires, elle était présente sur deux sites et employait environ 120 personnes. 
Cinq ans plus tard, elle double son chiffre d’affaires à environ 148 millions et élargit sa présence à 4 sites, le nombre de ses salariés passant ainsi à 300 personnes. Au premier semestre 2018, le groupe est désormais présent sur une dizaine de sites pour un peu moins de 500 personnes. «Nous sommes pratiquement à 20% de croissance moyenne annuelle», se réjouit Berrada. 
",POSITIVE,1.0,avril
47,LG,"['Séoul', 'LG InstaView', 'Twinwash', 'Smart ThinQ.', 'OLED', 'OLED', 'Amazon Alexa', 'MEA', 'Innofest', 'Alpha 9']","LG a mis l’accent sur l’intelligence artificielle (IA) lors de l’Innofest MEA 2019. L’événement organisé à Séoul a été l’occasion pour le géant sud-coréen de présenter ses dernières innovations. 
Au menu : une maison connectée avec une «expérience de vie futuriste» grâce à la technologie LG ThinQ. Pour la cuisine, c’est le réfrigérateur LG InstaView qui est à l’honneur. Grâce à l’IA, il permet de faire la compilation des listes de courses, assiste le cuisinier en lui proposant des recettes à l’aide de son interface à écran tactile. Les machines à laver Twinwash peuvent, pour leur part, être utilisées à distance grâce à l’application Smart ThinQ. «LG ThinQ apporte un apprentissage en profondeur des produits ménagers quotidiens. Les appareils sont activés avec la capacité d’apprendre les habitudes et les goûts d’un utilisateur au fil du temps, pour une meilleure intégration et une tranquillité d’esprit», précise le géant asiatique dans un communiqué. Lors de l’Innofest, le groupe a également présenté, en exclusivité, le premier téléviseur OLED enroulable au monde de la gamme premium LG Signature. L’écran associe la technologie OLED à des innovations techniques pour «offrir une unité unique capable de s’intégrer de manière homogène dans un large éventail d’espaces grâce à sa nature flexible». Grâce aux assistants numériques intégrés, dont Amazon Alexa, les utilisateurs peuvent contrôler leur téléviseur en utilisant leur voix. Le processeur intelligent 9 (Alpha 9) de deuxième génération et l’algorithme deep learning de LG optimisent le contenu pour une meilleure qualité d’image et de son. 
",POSITIVE,1.0,avril
48,RSE,"['LafargeHolcim', 'CGEM', 'Confédération', 'Managem SA', 'Reminex', 'AGM', 'SMI', 'CGEM', 'CGEM', 'Label CGEM', 'Managem']","LafargeHolcim décroche le Label Responsabilité sociétale des entreprises (RSE) décerné par la CGEM. La Confédération a également renouvelé le label à quatre filiales du groupe Managem, à savoir Managem SA, Reminex, AGM et SMI. 
La charte RSE de la CGEM repose sur neuf domaines d’actions. Il s’agit des droits de l’Homme, des relations et conditions de travail, l’environnement, la prévention de la corruption, la saine concurrence, la gouvernance de l’entreprise, les intérêts des clients et des consommateurs. Sur la liste également les questions relatives aux fournisseurs et sous-traitants et l’engagement envers la communauté, en conformité avec les objectifs universels RSE. 
Le label permet aux entreprises de formaliser leurs engagements, mesurer leur progrès et faire connaitre leurs performances tout en leur permettant d’améliorer leur compétitivité et leur accès aux marchés. Cette distinction vise également à fédérer les équipes, renforcer leur cohésion et leur efficience ainsi que de dialoguer en confiance avec les clients, fournisseurs, actionnaires, partenaires financiers et collectivité en général. 
En clair, le label de la CGEM est une distinction qui reconnait l’engagement des entreprises en matière de RSE et son intégration dans leur stratégie managériale et leurs opérations quotidiennes. 
Le dispositif du Label CGEM est multi-parties prenantes, faisant appel pour son octroi à des cabinets externes pour l’évaluation des entreprises candidates et à un comité d’attribution indépendant pour statuer sur l’attribution du sésame. 
",POSITIVE,1.0,avril
49,BMCE BANK OF AFRICA,['Nations unies'],"Double consécration pour BMCE Bank of Africa lors de l’Arabia CSR Awards. Le groupe bancaire marocain a ainsi décroché, pour la 6e année d’affilée, deux prix dans les catégories Financial services category et Partnerships and collaborations. Ces distinctions «récompensent les organisations de la région qui démontrent un leadership et un engagement exceptionnels en faveur de la durabilité», précise BBOA dans un communiqué. À noter que ces trophées s’ajoutent à celui du Top Performer RSE obtenu également pour la 6e fois consécutive par l’agence de notation extra-financière VigeoEiris, qui s’est alliée à Moody’s depuis avril dernier afin de promouvoir l’usage de standards à l’échelle mondiale auprès des acteurs de marché. Pour rappel, l’Arabia CSR Award est considéré comme le 1er prix développement durable et RSE de la région arabe. Lancé en 2008, il repose sur les principes et cadres internationaux reconnus à l’échelle planétaire et soutenus par des instances de renom à l’image du Pacte mondial des Nations unies, le programme des Nations unies pour l’environnement. Depuis sa création, le prix a reçu plus de 1.000 candidatures émanant de plus de 900 organisations représentant 39 secteurs de 13 pays. 
",POSITIVE,1.0,avril
50,BANQUE CENTRALE POPULAIRE,"['Banque internationale du Cameroun', 'BPCE', 'banque panafricaine', 'BICEC', 'BICEC', 'BICEC']","C’est fait. La Banque Centrale Populaire a finalisé, mardi dernier, l’acquisition de 68,5% du capital de la Banque internationale du Cameroun pour l’épargne et le crédit (BICEC) auprès du groupe français BPCE. Cette opération stratégique permettra au groupe bancaire marocain de déployer au Cameroun son modèle «unique» de banque panafricaine, solidaire et à fort ancrage local, explique le groupe dans un communiqué.  À cette occasion, une cérémonie officielle a été organisée au siège de la BICEC à Douala-Bonanjo, en présence du directeur général de la BCP et de l’international Kamal Mokdad, du président du conseil d’administration de la banque, Jean-Baptiste Bokam, et du nouveau directeur général de la BICEC, Rochdi Sanhaji. «En rejoignant le groupe Banque Centrale Populaire, la BICEC bénéficiera des meilleures pratiques bancaires, d’innovations et d’expertises adaptées au marché africain. Avec l’appui de ses nouveaux actionnaires de référence, la BCP et l’État camerounais, la BICEC entame dorénavant une nouvelle phase de son développement, en plaçant la satisfaction de ses clients et la promotion des talents locaux au centre de ses priorités», déclare Kamal Mokdad. Rappelons que la BCP est présente dans 29 pays, dont 15 africains. Le groupe est le 6e acteur bancaire du continent par la taille des fonds propres et l’une des toutes premières banques africaines en termes de total bilan. De même, la Banque centrale populaire est la seule institution bancaire en Afrique du Nord, de l’Ouest et du centre à être présente dans l’Océan Indien à travers sa filiale BCP Bank (Mauritius). 
",POSITIVE,1.0,avril
51,GIVAUDAN,"['Reuters', 'Naturex']","Le fabricant suisse d’arômes et de parfums Givaudan a enregistré une baisse de 8% de son bénéfice net en 2018. Ce recul s’explique principalement par la hausse des coûts de financement ainsi que les pertes de change, selon Reuters. Son bénéfice net s’est élevé à 663 millions de francs suisses l’année dernière contre 720 millions en 2017. Toujours en 2018, les coûts de financement ont grimpé à 55 millions de francs contre 42 millions une année auparavant. Cette hausse émane du rachat de Naturex, spécialiste français des ingrédients naturels pour 1,3 milliard d’euros. 
De même, les autres frais financiers ont presque doublé à 56 millions de francs, en raison des pertes accrues de devises étrangères sur les marchés où elles ne pouvaient pas être couvertes notamment en Argentine. 
Par ailleurs, l’entreprise genevoise a confirmé ses objectifs de croissance annuelle des ventes de 4 à 5% et d’un flux de trésorerie disponible de 12 à 17% de son chiffre d’affaires. 
Rappelons que Givaudan vient d’inaugurer son nouveau centre technique et commercial de 600 m² pour la division arômes à Casablanca. Son investissement qui s’élève à plus de 11,64 millions de DH s’inscrit dans la stratégie 2020 de la société consistant à investir dans les marchés à forte croissance. Il atteste aussi de l’engagement continu de Givaudan en faveur du Maghreb et de l’Afrique de l’Ouest. 
",POSITIVE,1.0,avril
52,CENTRE MONÉTIQUE INTERBANCAIRE CMI,"['l Barid Bank,', 'Attijariwafa bank', 'Banque Populaire', 'BMCE Bank', 'BMCI', 'CIH Bank', 'Crédit du', 'Maroc', 'Société Générale', 'Hyundai Creta', 'Agricole du Maroc']","Une transaction de seulement 96 DH sur TPE a valu un crossover à l’un des heureux gagnants de la grande Tombola organisée, en 2018, par le Centre monétique interbancaire (CMI) en partenariat avec 9 banques de la place (Al Barid Bank, Attijariwafa bank, Banque Populaire, BMCE Bank, BMCI, CIH Bank, Crédit du Maroc, Crédit Agricole du Maroc et Société Générale). La clé lui a été remise lors d’une cérémonie le 5 mars à Casablanca, où 9 voitures Hyundai Creta et 9 chèques de voyage d’une valeur de 10.000 DH chacun ont été attribués aux gagnants.
«L’ambition de cette opération réussie est de pousser les consommateurs à une utilisation plus intense de leurs cartes bancaires et d’inciter les plus réticents à en faire usage pour régler leurs achats au quotidien», explique au «Matin-Éco» Mikael Naciri, directeur général du CMI. Cette opération, qui a coûté quelques millions de DH, a concerné 2 millions de porteurs uniques. Le tirage au sort a eu lieu le 12 février dernier, en présence d’un notaire.
Notons qu’en janvier, 100 gagnants avaient été tirés au sort et avaient remporté des centaines de lots de smartphones, tablettes, machines à café et téléviseurs entre autres. Selon Naciri, «il n’y avait aucun enjeu sur le montant, seule l’utilisation de la carte a permis de participer à cette tombola».
Les tirages au sort ont porté sur 10 millions de transactions réalisées entre décembre 2018 et janvier 2019 pour un montant de 5 milliards de DH payés sur TPE, en ligne et chez les grands facturiers.
Cette soirée de remise des prix a mobilisé pratiquement toute la sphère bancaire avec les représentants des commerçants auprès desquels les transactions gagnantes ont été réalisées. « Chaque mois, ce sont 600 nouveaux commerçants qui viennent rejoindre le réseau CMI pour proposer ces paiements électroniques, renforçant ainsi le réseau CMI qui comprend à ce jour 45.000 commerçants à travers tout le pays», précise le DG du CMI. 
",POSITIVE,1.0,avril
53,BMCE BANK OF AFRICA,"['CDC', 'CDC ', 'CDC']","BMCE Bank of Africa augmente son capital. L’assemblée générale extraordinaire, qui s’est tenue le 4 septembre dernier, a autorisé cette opération d’un montant maximum, prime d’émission incluse, de 1,930 milliards de DH au prix de souscription de 180 DH par action. Soit une prime d’émission de 170 DH par action à libérer intégralement par CDC Group plc (CDC) par apport en espèces lors de l’augmentation du Capital social. «Les actions nouvelles porteront jouissance courante de manière à être totalement assimilables aux actions existantes de BMCE Bank à compter du 1er janvier de l’année au cours de laquelle lesdites actions seront émises et donneront droit aux distributions de bénéfices ou aux répartitions de réserves, de primes ou de réduction de capital social, de quelque nature que ce soit, qui pourraient être décidées par BMCE Bank of Africa à compter de la date de réalisation définitive de l’Augmentation du Capital social», indique la banque. La prise de participation de CDC Group plc, a été autorisée lors d’une réunion du Conseil d’administration de la banque, le 18 juin dernier.
«L’entrée de CDC Group plc dans le capital social de BMCE Bank of Africa, tout en s’inscrivant dans le cadre de la mise en œuvre du plan de financement accompagnant le Plan stratégique de développement 2019-2021 de la banque, scelle un partenariat stratégique entre les deux institutions», avait annoncé la banque. Il s’agit du premier investissement direct en fonds propres de la CDC au Maroc et l’un des plus importants jamais réalisés dans le secteur financier marocain par une institution britannique. 
",POSITIVE,1.0,avril
54,PSA,"['SUV', 'Reuters', 'Peugeot', 'Opel']","PSA augmente sa capacité de production de SUV en Europe. Le constructeur automobile ajoute au dispositif déjà en place l’usine Opel d’Eisenach. Celle-ci «se voit attribuer un modèle jusqu’ici fabriqué dans l’usine française de Sochaux», rapporte l’agence de presse Reuters. «Afin de soutenir ce développement rapide et régulier des ventes, tout en conservant l’agilité des dispositifs industriels, vecteur de performance, le groupe a décidé d’accroître ses capacités de production en Europe en utilisant toutes ses ressources et actifs disponibles», a précisé le constructeur dans un communiqué. «L’attribution de l’Opel Grandland X à Eisenach s’inscrit aussi dans le cadre de l’accord de compétitivité conclu mardi soir avec les syndicats allemands après de longs mois de négociations», souligne Reuters. Cousin du Peugeot, 3008, dont il partage la plateforme, le modèle est fabriqué depuis son lancement fin 2017 à Sochaux, où l’annonce a préoccupé plusieurs syndicats. 
Le constructeur a par ailleurs assuré que l’assemblage du Grandland en Allemagne, à partir de la mi-2019, commencerait de manière progressive et suivrait la saturation du site de Sochaux, qui obtiendra en échange la production du Peugeot 5008 en complément du 3008. Si le SUV prend plus de place dans les usines PSA, c’est qu’il représente plus du tiers des ventes européennes. 
",POSITIVE,1.0,avril
55,BANK OF AFRICA,no organisation,"Bank of Africa accompagne le programme intégré d’appui et de financement des entreprises en lançant «Intelak #Likoum», un programme global conjuguant des services financiers et non financiers. Et pour être plus proche des porteurs de projets potentiels, la banque a initié une Caravane nationale, dont le coup d’envoi a été donné le 2 mars à Laâyoune. En tout, ce sont 3 agences bancaires mobiles qui sillonneront, 30 jours durant, une quarantaine de villes.",POSITIVE,1.0,avril
56,BNP PARIBAS,"['Bourse de Stockholm', 'BNP Paribas Asset Management']","L’année 2019 aura été riche pour BNP Paribas en initiatives en faveur de l’environnement. Celles-ci peuvent être résumées en cinq moments forts. Premièrement, l’accélération de la transition énergétique. Le groupe avait annoncé sa volonté de réduire à zéro son exposition au charbon thermique à l’horizon 2030 dans l’Union européenne et à horizon 2040 dans le reste du monde. Le groupe a aussi rehaussé son objectif de financement de projets d’énergies renouvelables de 15 à 18 milliards d’euros à horizon 2021 et s’est engagé sur un objectif de 3,5 milliards d’euros d’investissements verts à fin 2020. De même, dans le cadre de ses actifs gérés en direct, BNP Paribas ne finance plus d’entreprises productrices d’électricité dont plus de 30% des capacités installées utilisent du charbon. En 2019, la banque s’est fortement engagée dans le financement responsable des activités ayant un impact positif sur l’océan. 
Le deuxième moment fort est le soutien aux entrepreneurs sociaux. Le groupe a renforcé sa position de banquier de référence de l’entrepreneuriat social en investissant dans un fonds dédié au pré-amorçage. 
Le troisième événement est relatif à l’entreprise sociale «ClimateSeed» lancée par le groupe bancaire qui a remporté le premier prix dans la catégorie «banque sociale, durable et responsable» lors des «Customer insight and growth banking innovation awards 2019». 
Toujours en 2019, BNP Paribas a été désignée meilleure banque au monde pour sa responsabilité d’entreprise par Euromoney. Cette distinction récompense le travail de tous les collaborateurs du groupe engagés aux côtés des clients pour construire un nouveau modèle de banque innovant et inclusif et c’est le quatrième pilier. 
Enfin, le groupe bancaire a œuvré pour le développement de l’investissement durable. En 2019, il a émis sa première obligation verte à la Bourse de Stockholm à destination de clients et investisseurs suédois. Rappelons que les investissements socialement responsables de BNP Paribas Asset Management représentent environ 10% des actifs à fin 2018, soit 40 milliards d’euros. 
",POSITIVE,1.0,avril
57,BCP,"['BPCE', 'Banque des Mascareignes', 'Banque des Mascareignes', 'BCP', 'BCP', 'BCP']","C’est fait. La Banque Centrale Populaire (BCP) a finalisé, le 16 octobre à Maurice, l’acquisition auprès du groupe BPCE, de la Banque des Mascareignes après l’obtention de l’ensemble des autorisations réglementaires. En tant qu’unique banque de l’Afrique du Nord et de l’Ouest présente à Maurice, la BCP compte accompagner la dynamique d’ouverture vers l’Afrique francophone ainsi que les flux d’investissement en provenance d’Asie, notamment de Chine et d’Inde, vers l’Afrique. Un changement de marque interviendra prochainement pour instaurer une identité commune «forte» à travers le continent, annonce la BCP. 
En rejoignant un groupe panafricain d’envergure, la Banque des Mascareignes s’ouvre à de nouvelles perspectives de développement tout en offrant à ses clients de nombreuses solutions innovantes développées par le groupe BCP notamment dans les domaines de la monétique et du Trade Finance. Les clients actuels et futurs de la Banque des Mascareignes bénéficieront, à ce titre, «des meilleures pratiques bancaires de la BCP et de la garantie d’un groupe solide, disposant auprès des agences de notation les plus prestigieuses du meilleur rating au Maroc et au Maghreb», selon la BCP. 
",POSITIVE,1.0,avril
58,RENAULT,no organisation,"Le groupe automobile Renault a vu ses ventes mondiales baisser de 3,4% en 2019. Mais au Maroc, il maintient ses performances. Le pays pointe même en tête du Top 15 des principaux marchés du groupe, en termes de part de marché et devient son quatorzième marché mondial.",POSITIVE,1.0,avril
59,ORANGE CYBERDEFENSE,no organisation,"Dans un monde ultra-connecté où les cybermenaces s’intensifient et revêtent des formes de plus en plus complexes, la sécurité est devenue un enjeu majeur pour les entreprises. Numéro un français de la sécurité numérique, Orange Cyberdefense déploie des moyens colossaux pour protéger ses clients. Voyage au cœur de cette forteresse des temps modernes.",POSITIVE,1.0,avril
